Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Renee,2024-03-17 19:55,0:00:04,Autoplayed: user action: None; ,Black Adam_hook_05_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:04,0:00:04,CA (Canada)
Renee,2024-03-17 19:55,0:00:05,Autoplayed: user action: None; ,Season 6 Trailer 3: Love is Blind,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:05,0:00:05,CA (Canada)
Renee,2024-03-17 0:04,0:22:13,,Victorious: Season 1: Sleepover at Sikowitz's (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:23:04,0:23:04,CA (Canada)
Renee,2024-03-17 0:04,0:00:07,Autoplayed: user action: None; ,Victorious: Season 1 - CLM 5,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:07,0:00:07,CA (Canada)
Renee,2024-03-13 4:27,0:00:06,Autoplayed: user action: None; ,The Office (U.S.): Season 1 - CLM 7,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:06,0:00:06,CA (Canada)
Renee,2024-03-13 4:27,0:00:04,Autoplayed: user action: None; ,Trailer: Damsel,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:04,0:00:04,CA (Canada)
Renee,2024-03-12 9:23,0:00:06,Autoplayed: user action: None; ,Season 6 Sensory Clip: Love Is Blind,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:06,0:00:06,CA (Canada)
Renee,2024-03-08 2:22,0:15:54,,Community: Season 2: Intro to Political Science (Episode 16),,Apple iPhone 13,0:16:15,0:16:15,CA (Canada)
Renee,2024-03-08 2:01,0:20:53,,Community: Season 2: Intermediate Documentary Filmmaking (Episode 15),,Apple iPhone 13,0:21:01,0:21:01,CA (Canada)
Renee,2024-03-08 1:40,0:20:46,,Community: Season 2: Early 21st Century Romanticism (Episode 14),,Apple iPhone 13,0:21:09,0:21:09,CA (Canada)
Renee,2024-03-08 1:28,0:11:41,,Community: Season 2: Celebrity Pharmacology (Episode 13),,Apple iPhone 13,0:20:42,0:20:42,CA (Canada)
Renee,2024-03-06 5:08,0:09:39,,Community: Season 2: Celebrity Pharmacology (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:09:40,Not latest view,CA (Canada)
Renee,2024-03-06 4:45,0:20:55,,Community: Season 2: Asian Population Studies (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:17,0:21:17,CA (Canada)
Renee,2024-03-06 4:05,0:23:09,,Community: Season 2: Abed's Uncontrollable Christmas (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:23,0:21:23,CA (Canada)
Renee,2024-03-06 3:44,0:20:38,,Community: Season 2: Mixology Certification (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,0:20:39,0:20:39,CA (Canada)
Renee,2024-03-06 3:23,0:21:12,,Community: Season 2: Conspiracy Theories and Interior Design (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:12,0:21:12,CA (Canada)
Renee,2024-03-06 3:02,0:21:10,,Community: Season 2: Cooperative Calligraphy (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:11,0:21:11,CA (Canada)
Renee,2024-03-06 2:39,0:21:04,,Community: Season 2: Aerodynamics of Gender (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:14,0:21:14,CA (Canada)
Renee,2024-03-06 2:37,0:00:34,Autoplayed: user action: None; ,Sydney White_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,CA (Canada)
Renee,2024-03-05 19:32,0:00:19,Autoplayed: user action: None; ,Community: Season 2: Aerodynamics of Gender (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:30,Not latest view,CA (Canada)
Renee,2024-03-05 19:11,0:19:29,,Community: Season 2: Epidemiology (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:18,0:21:18,CA (Canada)
